0.083416,0.078826,0.076627,0.000719,0.000000,0.000083,0.000104,0.208902,0.211259,0.026001,0.103214,0.011052,0.000000,0.094841,0.100302,0.069793,0.066900,0.039410,0.041604,0.022366,0.069507,0.061816,0.130436,0.120979,0.188530,0.055553,0.021364,0.000886,0.296047,0.196452,0.001685,0.009942,0.031645,0.040904,0.071351,0.095292,0.094186,0.064994,0.041765,0.000357,0.003619,0.045531,0.041900,0.118961,0.112340,0.346019,0.346102,0.032533,0.032431,0.143524,0.143869,0.000000
0.084067,0.079318,0.077606,0.000477,0.000000,0.000061,0.000082,0.212994,0.215049,0.026554,0.101472,0.010252,0.000000,0.093336,0.100771,0.067947,0.065097,0.037437,0.038706,0.022962,0.068947,0.061341,0.130286,0.122453,0.182272,0.056011,0.020715,0.000935,0.296241,0.204094,0.001688,0.010022,0.032450,0.042491,0.073271,0.099777,0.093096,0.066901,0.044834,0.000997,0.003414,0.045779,0.042216,0.116772,0.109192,0.342202,0.344365,0.032921,0.032853,0.143775,0.145185,0.000000
0.083558,0.080697,0.079500,0.000767,0.000000,0.000081,0.000097,0.215119,0.217398,0.027068,0.100405,0.009647,0.000000,0.089912,0.099448,0.065650,0.062994,0.037252,0.038708,0.023704,0.067984,0.060699,0.129647,0.123548,0.176691,0.055588,0.020159,0.000903,0.290533,0.210684,0.001634,0.010270,0.032870,0.043621,0.075195,0.104504,0.090592,0.068946,0.048380,0.001368,0.002969,0.046028,0.042599,0.113939,0.106146,0.340106,0.343209,0.034385,0.034274,0.144739,0.146539,0.000000
0.083335,0.081376,0.080555,0.002408,0.000000,0.000099,0.000112,0.216657,0.220838,0.030197,0.097779,0.008437,0.000000,0.086922,0.097860,0.062550,0.060195,0.039298,0.042245,0.023763,0.066569,0.059619,0.128827,0.124148,0.174456,0.054974,0.019925,0.000786,0.275945,0.211829,0.001738,0.010342,0.032797,0.043913,0.075179,0.106224,0.088392,0.072319,0.052456,0.002136,0.003254,0.046179,0.042969,0.111017,0.103819,0.339954,0.341404,0.035569,0.035369,0.145441,0.146597,0.000000
0.081010,0.083021,0.081813,0.003538,0.000585,0.000131,0.000141,0.214197,0.220944,0.032431,0.095357,0.007038,0.000273,0.082171,0.093408,0.060128,0.057959,0.041761,0.047591,0.023982,0.064308,0.057881,0.125386,0.121818,0.169692,0.054993,0.019935,0.000711,0.244581,0.204737,0.001844,0.010184,0.033132,0.044245,0.073581,0.106496,0.084305,0.077756,0.058168,0.002526,0.003784,0.046029,0.042985,0.106384,0.100567,0.337758,0.336191,0.035938,0.035686,0.143910,0.144557,0.000000
0.077519,0.084999,0.082637,0.004055,0.000990,0.000143,0.000148,0.209436,0.216900,0.033522,0.093520,0.005576,0.000677,0.074317,0.084330,0.058742,0.056418,0.045505,0.054632,0.024347,0.062157,0.056249,0.120499,0.117902,0.155838,0.054070,0.019884,0.000768,0.204917,0.186000,0.001983,0.009742,0.032883,0.043576,0.070615,0.104194,0.075874,0.086817,0.066587,0.001007,0.002864,0.045394,0.042241,0.101255,0.096877,0.331022,0.328429,0.035204,0.034993,0.139769,0.139501,0.000000
0.074110,0.084383,0.080646,0.004120,0.001444,0.000180,0.000179,0.205910,0.212982,0.033824,0.092275,0.005021,0.001000,0.069039,0.075947,0.058102,0.056157,0.051478,0.061724,0.023483,0.060707,0.054944,0.116386,0.113439,0.137683,0.052055,0.020353,0.000826,0.170404,0.160847,0.002304,0.008744,0.032500,0.043201,0.067587,0.099991,0.067268,0.093563,0.074044,0.000000,0.001555,0.045010,0.041872,0.094640,0.090434,0.312235,0.311577,0.034371,0.034246,0.132673,0.130634,0.000000
0.070755,0.082429,0.078352,0.002962,0.000786,0.000224,0.000217,0.203735,0.210891,0.033233,0.091985,0.005679,0.001150,0.068099,0.072864,0.058155,0.056594,0.054378,0.064048,0.022415,0.059796,0.053935,0.113989,0.109454,0.125248,0.050126,0.020523,0.000926,0.149168,0.142769,0.002509,0.007910,0.032325,0.044269,0.066864,0.098879,0.061296,0.097590,0.079534,0.000000,0.000000,0.044709,0.041576,0.089793,0.084680,0.296592,0.298358,0.034162,0.033895,0.126479,0.123246,0.000000
0.066989,0.082898,0.079637,0.000207,0.000000,0.000276,0.000265,0.200415,0.208161,0.031025,0.093496,0.006938,0.000840,0.068052,0.071600,0.059185,0.058048,0.053447,0.061761,0.022406,0.059583,0.053286,0.113437,0.106825,0.118557,0.048780,0.019883,0.001086,0.139338,0.140791,0.002474,0.007567,0.032275,0.045431,0.067887,0.100627,0.058796,0.099169,0.082984,0.000000,0.000000,0.044125,0.040985,0.086080,0.079959,0.284516,0.286832,0.034049,0.033707,0.119912,0.117069,0.000000
0.064172,0.082370,0.080853,0.000000,0.000000,0.000286,0.000265,0.198924,0.206013,0.028515,0.096217,0.008527,0.000694,0.069220,0.072192,0.060912,0.060371,0.052762,0.059038,0.023369,0.060025,0.053438,0.115936,0.107268,0.117951,0.048193,0.019388,0.001039,0.143937,0.152434,0.002481,0.007326,0.032088,0.045163,0.068343,0.101727,0.059514,0.099876,0.085535,0.000000,0.000000,0.043551,0.040398,0.086808,0.079266,0.285943,0.286394,0.033911,0.033554,0.117618,0.115717,0.000000
